,victim_name,victim_race,victim_gender,lynch_date,year,lynch_location,source,latitude,longitude,search_url
0,solomon dunn,white,male,1865-03-05,1865,"mount vernon springs, chatham county, north carolina",tolnay-beck,35.6679204,-79.4252987,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=solomon+dunn&andtext=&dateFilterType=yearRange&page=1&sort=date
1,charles winters,black,male,1865-07-20,1865,"warsaw, duplin county, north carolina",tolnay-beck,34.9993329,-78.091101,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=charles+winters&andtext=&dateFilterType=yearRange&page=1&sort=date
2,thos bradley,black,male,1865-07-20,1865,"warsaw, duplin county, north carolina",tolnay-beck,34.9993329,-78.091101,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thos+bradley&andtext=&dateFilterType=yearRange&page=1&sort=date
3,john hirst,black,male,1865-07-21,1865,"bowden station, duplin county, north carolina",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+hirst&andtext=&dateFilterType=yearRange&page=1&sort=date
4,john middleton,black,male,1865-07-21,1865,"bowden station, duplin county, north carolina",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+middleton&andtext=&dateFilterType=yearRange&page=1&sort=date
5,abner baker,white,male,1865-09-05,1865,"knoxville, knox county, tennessee",tolnay-beck,35.9603948,-83.9210261,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=abner+baker&andtext=&dateFilterType=yearRange&page=1&sort=date
6,william b wade,white,male,1865-11-01,1865,"columbus, lowndes county, mississippi",tolnay-beck,33.4956744,-88.4272627,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+b+wade&andtext=&dateFilterType=yearRange&page=1&sort=date
7,henry grantham,white,male,1865-12-24,1865,"doctortown, wayne county, georgia",tolnay-beck,31.6535475,-81.8292809,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1865&date2=1866&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=henry+grantham&andtext=&dateFilterType=yearRange&page=1&sort=date
8,sg butts,white,male,1866-07-09,1866,"winn parish, louisiana",tolnay-beck,31.6518265,-87.9172244,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=sg+butts&andtext=&dateFilterType=yearRange&page=1&sort=date
9,james lyons,white,male,1866-07-17,1866,"louisa, lawrence county, kentucky",tolnay-beck,38.1144867,-82.6030988,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=james+lyons&andtext=&dateFilterType=yearRange&page=1&sort=date
10,john lyons,white,male,1866-07-17,1866,"louisa, lawrence county, kentucky",tolnay-beck,38.1144867,-82.6030988,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+lyons&andtext=&dateFilterType=yearRange&page=1&sort=date
11,william wright,white,male,1866-07-17,1866,"louisa, lawrence county, kentucky",tolnay-beck,38.1144867,-82.6030988,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+wright&andtext=&dateFilterType=yearRange&page=1&sort=date
12,je odom,white,male,1866-07-18,1866,"kinston, lenoir county, north carolina",tolnay-beck,35.2626635,-77.5816353,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=je+odom&andtext=&dateFilterType=yearRange&page=1&sort=date
13,wilson brooks,white,male,1866-08-31,1866,"magnolia,  osyka, pike county, mississippi",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wilson+brooks&andtext=&dateFilterType=yearRange&page=1&sort=date
14,dick hempstead,white,male,1866-09-05,1866,"little rock, pulaski county, arkansas",tolnay-beck,34.7465071,-92.2896267,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=dick+hempstead&andtext=&dateFilterType=yearRange&page=1&sort=date
15,alfred jennings,white,male,1866-11-16,1866,"mackville, washington county, kentucky",tolnay-beck,37.7367355,-85.0674597,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=alfred+jennings&andtext=&dateFilterType=yearRange&page=1&sort=date
16,jonathan lindley,white,male,1866-12-04,1866,"belton, bell county, texas",tolnay-beck,31.0560132,-97.464453,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jonathan+lindley&andtext=&dateFilterType=yearRange&page=1&sort=date
17,peter goode,white,male,1866-11-24,1866,"lebanon, marion county, kentucky",tolnay-beck,37.5697869,-85.2527381,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=peter+goode&andtext=&dateFilterType=yearRange&page=1&sort=date
18,tom stephens,white,male,1866-11-24,1866,"lebanon, marion county, kentucky",tolnay-beck,37.5697869,-85.2527381,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=tom+stephens&andtext=&dateFilterType=yearRange&page=1&sort=date
19,pompey obannon,black,male,1866-07-03,1866,"toomsboro, wilkinson county, georgia",tolnay-beck,32.827004,-83.0802226,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=pompey+obannon&andtext=&dateFilterType=yearRange&page=1&sort=date
20,newton lindley,white,male,1866-12-04,1866,"belton, bell county, texas",tolnay-beck,31.0560132,-97.464453,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=newton+lindley&andtext=&dateFilterType=yearRange&page=1&sort=date
21,joel heath,white,male,1866-12-18,1866,"kinston, lenoir county, north carolina",tolnay-beck,35.2626635,-77.5816353,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joel+heath&andtext=&dateFilterType=yearRange&page=1&sort=date
22,al mcroberts,black,male,1866-12-24,1866,"danville, boyle county, kentucky",tolnay-beck,37.6456488,-84.7721823,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=al+mcroberts&andtext=&dateFilterType=yearRange&page=1&sort=date
23,lew crowdus,white,male,1866-11-24,1866,"lebanon, marion county, kentucky",tolnay-beck,37.5697869,-85.2527381,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lew+crowdus&andtext=&dateFilterType=yearRange&page=1&sort=date
24,wm wynn,white,male,1866-07-01,1866,"pontotoc county, mississippi",tolnay-beck,34.2114655,-89.0382651,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wm+wynn&andtext=&dateFilterType=yearRange&page=1&sort=date
25,jim rogers,white,male,1866-07-01,1866,"pontotoc county, mississippi",tolnay-beck,34.2114655,-89.0382651,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jim+rogers&andtext=&dateFilterType=yearRange&page=1&sort=date
26,george meeks,white,male,1866-04-18,1866,"midway, woodford county, kentucky",tolnay-beck,38.1509077,-84.6838344,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=george+meeks&andtext=&dateFilterType=yearRange&page=1&sort=date
27,joseph balls,black,male,1866-02-16,1866,"bath county, kentucky",tolnay-beck,38.1245248,-83.7249243,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joseph+balls&andtext=&dateFilterType=yearRange&page=1&sort=date
28,pete burns,black,male,1866-02-16,1866,"bath county, kentucky",tolnay-beck,38.1245248,-83.7249243,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=pete+burns&andtext=&dateFilterType=yearRange&page=1&sort=date
29,william thomas,black,male,1866-03-26,1866,"paris, bourbon county, kentucky",tolnay-beck,38.2097987,-84.2529869,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+thomas&andtext=&dateFilterType=yearRange&page=1&sort=date
30,james holden,black,male,1866-04-13,1866,"pongoteague, accomac county, virginia",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=james+holden&andtext=&dateFilterType=yearRange&page=1&sort=date
